,Li-Li,Li-B,B-B,r
0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.1
2,0.0,0.0,0.0,0.2
3,0.0,0.0,0.0,0.30000000000000004
4,2.945872262128665e-07,0.0,2.945872262128665e-07,0.4
5,2.4229684856329583e-06,6.275230854238578e-08,6.188106998176113e-06,0.5
6,1.540970651093759e-05,8.961671742705375e-07,7.626786634890393e-05,0.6000000000000001
7,7.450300985079874e-05,6.431867951455378e-06,0.0005445311973179303,0.7000000000000001
8,0.0002958121944459914,3.74144087844164e-05,0.0028655914066902056,0.8
9,0.0009918265906556,0.000178024072605504,0.012113618196588911,0.9
10,0.002862861736895512,0.0007179141555909963,0.04210770403116655,1.0
11,0.007267337860387062,0.002512816752132463,0.1213000086939943,1.1
12,0.016523879484549617,0.00774674534982109,0.29121288175560867,1.2000000000000002
13,0.034174990962140536,0.02115501638711605,0.5864209308094868,1.3
14,0.06498839027316158,0.05118318272551585,0.9984150001591009,1.4000000000000001
15,0.11426718762222696,0.10967894693932424,1.4513496582716738,1.5
16,0.1862799724235534,0.20855151281369547,1.823193605852269,1.6
17,0.28242461983037737,0.3535947899866399,2.0089605039647807,1.7000000000000002
18,0.4001372084137019,0.5385854044577286,1.9779468154985684,1.8
19,0.5329678641535782,0.743884728365186,1.7800170692999573,1.9000000000000001
20,0.6715764446735489,0.9414908818997686,1.504489126934608,2.0
21,0.8053604828886496,1.1044940966481598,1.2317381156343927,2.1
22,0.9243431368682846,1.2160753990748832,1.0092665599737523,2.2
23,1.0209104525020176,1.2732099442942906,0.8537944040106253,2.3000000000000003
24,1.09102809863852,1.2837699120992023,0.7637762432035604,2.4000000000000004
25,1.1345983014052845,1.2605597240537578,0.7298462050845526,2.5
26,1.1548795482899115,1.216846491789933,0.7402202187791161,2.6
27,1.1571049990448226,1.1644681560937205,0.7826913493166623,2.7
28,1.1466031532527468,1.1129401328981194,0.8447149320083214,2.8000000000000003
29,1.1271766351157126,1.0688364152802103,0.9128849718778171,2.9000000000000004
30,1.1008270077171627,1.0358606554947103,0.9735694261627404,3.0
31,1.0691544074587078,1.015302284050167,1.0155374188541648,3.1
32,1.034886205400194,1.0062603402373194,1.033195973256756,3.2
33,1.0016853953500182,1.0060572291323542,1.0279727831272318,3.3000000000000003
34,0.972653799523611,1.0112483446385654,1.0066332382229897,3.4000000000000004
35,0.9494214170768649,1.018573031068204,0.977726945476977,3.5
36,0.9324996222481836,1.0253618092069916,0.9486453171212896,3.6
37,0.9221670556778269,1.029687617766789,0.9246770909009714,3.7
38,0.9190414936437911,1.0304656398126035,0.9092734000818905,3.8000000000000003
39,0.9237480153508951,1.0275402404449692,0.9042068122014078,3.9000000000000004
40,0.9354918673985028,1.021826371501025,0.9095281597215601,4.0
41,0.9509586092541362,1.015072374078504,0.9237361736069928,4.1000000000000005
42,0.9655619079810933,1.0089275825698034,0.943935121930395,4.2
43,0.9763134687679675,1.004136208157347,0.9660423459977538,4.3
44,0.9832107657582003,1.0007138903743051,0.9857964326673074,4.4
45,0.9879326182409619,0.9986427893889964,1.0003717420353895,4.5
46,0.9918412150736751,0.9981030110294198,1.0091057366793124,4.6000000000000005
47,0.9952736610503152,0.999176862885645,1.012725518439411,4.7
48,0.9979752563745107,1.0015944141135598,1.0121921642947225,4.800000000000001
49,0.9997887652861274,1.0046986816012011,1.0083776524967938,4.9
50,1.0010372740000937,1.007584822684752,1.002443297882012,5.0
51,1.0022193539785709,1.0094809360522934,0.9959469758901681,5.1000000000000005
52,1.0032172622932125,1.0101861908064074,0.990317629416883,5.2
53,1.003057954136736,1.0100865649192854,0.9863248031431773,5.300000000000001
54,1.0008435521836272,1.009634910310837,0.9841536371615863,5.4
55,0.9969808867415487,1.0088744576221778,0.9838437669423343,5.5
56,0.9932396161230493,1.0075710372391078,0.9854190101467343,5.6000000000000005
57,0.9914478855655143,1.0057024951430509,0.9885782205107521,5.7
58,0.9921108371335107,1.00365079391596,0.9925195674921624,5.800000000000001
59,0.9942255813531862,1.0019481839741033,0.9962772437153778,5.9
60,0.9962454121192191,1.0009256352244258,0.999173905758637,6.0
61,0.9971245921501862,1.0006182516196813,1.0009040604889126,6.1000000000000005
62,0.9965992683117751,1.0009702822797124,1.0013189277189967,6.2
63,0.9949287112638714,1.0020069604519373,1.0002873314457987,6.300000000000001
64,0.9927233523779649,1.0036605029290966,0.997773300146391,6.4
65,0.9907683904202933,1.0055082366870058,0.9940492936601385,6.5
66,0.9894517878948984,1.0069088376833533,0.9898232955087385,6.6000000000000005
67,0.9883852333889692,1.007467923704716,0.9860528395203025,6.7
68,0.9868852705202884,1.007323115989133,0.9835154792507076,6.800000000000001
69,0.9847278810126155,1.0069613034382874,0.9824939757293631,6.9
70,0.9823533942669909,1.0067852377197584,0.9828056530490389,7.0
71,0.9805404421894771,1.006837467928891,0.9839947666828998,7.1000000000000005
72,0.9798865866576628,1.0069236168070885,0.9854676075424094,7.2
73,0.9803922930747417,1.0069489561041207,0.9866176217631327,7.300000000000001
74,0.9815572882115652,1.007070374349051,0.9870096972145661,7.4
75,0.9829542534029548,1.007578108124576,0.986495624449765,7.5
76,0.9845669555447727,1.0087650467729827,0.9851522100771765,7.6000000000000005
77,0.986591914634999,1.0108967168004557,0.9831198825667563,7.7
78,0.9891179312601461,1.0140558673583937,0.9804679461307113,7.800000000000001
79,0.9919605009548229,1.0178336735524551,0.9772218472751526,7.9
80,0.994611410138548,1.0213494996130756,0.9736090122577151,8.0
81,0.9964490430812272,1.023845628301597,0.9702838915564878,8.1
82,0.9971483728617565,1.0252202035093367,0.9681379342885376,8.200000000000001
83,0.9967928478765308,1.0258256420828333,0.9678065814292725,8.3
84,0.9955400432691387,1.0258669641071119,0.9694173881504317,8.4
85,0.9933467017574004,1.025181649694632,0.9727424111022803,8.5
86,0.9901479886000983,1.0235185757156797,0.9773986470938655,8.6
87,0.9861516090151032,1.0208396333870848,0.9828474289938407,8.700000000000001
88,0.9817200340256363,1.0173599074952782,0.988351947274624,8.8
89,0.9770036134532893,1.0133897536296232,0.9931057655415417,8.9
90,0.9719827499664132,1.0091650601017554,0.9964698210615596,9.0
91,0.9668879939164189,1.004815599126457,0.9981460642068289,9.1
92,0.9623146981586741,1.00048826947805,0.998234223407508,9.200000000000001
93,0.9588070262902433,0.9964507819646775,0.9971318212809999,9.3
94,0.9564206243230048,0.9929989392563765,0.9952532263965965,9.4
95,0.9547094384731625,0.9902698683684095,0.9928071631862233,9.5
96,0.953097408610056,0.9882073850150588,0.9899165326749999,9.600000000000001
97,0.9513398304583837,0.9866931947761584,0.9868957272122172,9.700000000000001
98,0.9496908523040593,0.9856517827577406,0.9842435181745525,9.8
99,0.9485638707173184,0.9850329605032573,0.9823691747875487,9.9
100,0.9480713635858122,0.9847613567722192,0.9814308833349271,10.0
