"Unnamed: 0" formula diff_coeff_mul_thousand temperature AAV LBI SDLI SBI ENS RBI AFC AASD VPA LASD LLSD LNC SDLC LLB SNC RNC PF SPF SLPW SLPW_pp SLPE Li_percentage avg_B_with_Li avg_B_wiout_Li avg_G_with_Li avg_G_wiout_Li avg_Ecoh_with_Li avg_Echo_wiout_Li BR5_M_with_Li BR5_M_without_Li GR5_M_with_Li GR5_M_without_Li ER2_m_with_Li ER2_m_without_Li atomic_radius_avg atomic_radius_avg_exclude_Li ratio_r_without_Li_with avg_m_with_Li avg_m_wiout_Li avg_X_with_Li avg_X_wiout_Li avg_diff_of_X_Li_rest
0 Li2Si2Os 0.1251633 1500 15.4556000783 0.6169206349 0.5078142035000001 0.5089571899 2.0 1.2121267705 3.875 2.94793986 38.6390001958 2.4836630207 2.471324019 15.775 1.4228053275 6.2 15.1833333333 1.0389681668 0.5374642007 0.3101154155 0.2419629783 1.4717766739 1.668 0.4 119.0 189.00000000000003 77.80000000000001 127.00000000000003 4.147327698000001 5.841152156666668 2.802596047056096 2.230166410846229 2.266088270865989 1.828134854803234 0.36129025369977585 0.31112538257520855 1.28 1.1666666666666667 0.9114583333333334 52.0566 82.13366666666667 1.592 2.0000000000000004 0.40800000000000036
1 Li2Si2Os 0.4059483 2000 15.6613917032 0.5913657771 0.5142127928 0.5111738149 2.0 1.1568780713 3.2 2.7795790005 39.153479258 2.3971187506 2.4580314047 15.95 1.3955285737 6.7 14.7666666667 1.0801354402 0.5304018890000001 0.3060404804 0.1740409777 1.4330278 1.675 0.4 119.0 189.00000000000003 77.80000000000001 127.00000000000003 4.147327698000001 5.841152156666668 2.802596047056096 2.230166410846229 2.266088270865989 1.828134854803234 0.36129025369977585 0.31112538257520855 1.28 1.1666666666666667 0.9114583333333334 52.0566 82.13366666666667 1.592 2.0000000000000004 0.40800000000000036
2 Li2Si2Os 0.6737814000000001 2500 16.3599328554 0.6290625 0.5054769705000001 0.5051211073 2.0 1.2453696568 3.55 2.89440422 40.8998321384 2.4738479199 2.3840784267 14.425 1.7159181216 5.5 14.45 0.9982698962 0.5077546355 0.2929730753 0.2509600224 1.533618799 1.6825 0.4 119.0 189.00000000000003 77.80000000000001 127.00000000000003 4.147327698000001 5.841152156666668 2.802596047056096 2.230166410846229 2.266088270865989 1.828134854803234 0.36129025369977585 0.31112538257520855 1.28 1.1666666666666667 0.9114583333333334 52.0566 82.13366666666667 1.592 2.0000000000000004 0.40800000000000036
3 Ba3LiSi6 0.0612389 1000 28.6480380727 0.5228865979 0.4310691832 0.6456057007 1.5633333333 0.8099163272000001 2.9666666667 2.5219601354 47.7467301212 2.5107058504 3.6601040086 9.8 1.166190379 1.4 9.3555555556 1.0475059382 0.5865886833 0.5559250486 -0.1140653497 1.4746946273 1.101 0.1 53.9 58.33333333333333 38.800000000000004 42.66666666666667 3.4842753020000004 3.69290689 2.4251269553383095 2.4076912235299894 2.0575763480895652 2.0591441489352627 0.3531378951659033 0.3469561326201683 1.45 1.45 1.0 58.7435 64.49933333333333 1.505 1.563333333333333 0.058333333333333126
4 Ba3LiSi6 0.2184168 1500 29.7207891575 0.5688421053 0.4256085918 0.6084478372000001 1.5633333333 0.9349069395 2.9 2.5137253451 49.5346485958 2.5001486893 3.2987866617 9.6 0.916515139 1.2 8.7333333333 1.0992366412 0.5654161753 0.535859323 -0.1025640793 1.4129726933 1.294 0.1 53.9 58.33333333333333 38.800000000000004 42.66666666666667 3.4842753020000004 3.69290689 2.4251269553383095 2.4076912235299894 2.0575763480895652 2.0591441489352627 0.3531378951659033 0.3469561326201683 1.45 1.45 1.0 58.7435 64.49933333333333 1.505 1.563333333333333 0.058333333333333126
5 Ba3LiSi6 0.5454761 2000 30.4349473558 0.6031460674 0.4183931848 0.5479230769 1.5633333333 1.1007860279 3.3 2.5954953891 50.7249122596 2.4793756460000003 3.6489909838 9.0 1.1832159566 1.0 8.6666666667 1.0384615385 0.5521486447 0.523285346 0.0379219768 1.4749667547 1.496 0.1 53.9 58.33333333333333 38.800000000000004 42.66666666666667 3.4842753020000004 3.69290689 2.4251269553383095 2.4076912235299894 2.0575763480895652 2.0591441489352627 0.3531378951659033 0.3469561326201683 1.45 1.45 1.0 58.7435 64.49933333333333 1.505 1.563333333333333 0.058333333333333126
6 Ba3LiSi6 0.8480482 2500 31.9478000999 0.5776623377 0.4228547538 0.5390835580000001 1.5633333333 1.0715636364 3.1 2.5921506791 53.2463334999 2.5341255085 3.9401822922 7.8 2.6758176321 0.8 8.2444444444 0.9460916442 0.5260022562000001 0.4985057471 -0.3630217583 1.2325784392 1.092 0.1 53.9 58.33333333333333 38.800000000000004 42.66666666666667 3.4842753020000004 3.69290689 2.4251269553383095 2.4076912235299894 2.0575763480895652 2.0591441489352627 0.3531378951659033 0.3469561326201683 1.45 1.45 1.0 58.7435 64.49933333333333 1.505 1.563333333333333 0.058333333333333126
7 Cs4Li108Sn23 0.2061714 1000 20.4505317214 0.2052204836 0.3950207488 0.8929305136000001 1.7866666667 0.2298280555 2.5217391304 4.5733558568 120.0357296691 2.8073828867 2.5150504991 13.0277777778 1.4366778379 10.0925925926 12.2592592593 1.0626888218 0.525519684 0.1818795332 0.3126394679 1.667614902 1.3125 0.8 17.733333333333334 32.66666666666667 6.777777777777778 17.888888888888893 1.8443677325185188 2.7954746225925935 2.0727327067143033 1.7379258994522773 1.2814208154549285 1.286087532528878 0.3697332446348212 0.2464819845778935 1.4840740740740739 1.6203703703703702 1.0918392812577988 29.715405982222222 120.81302991111113 1.1413333333333333 1.7866666666666668 0.6453333333333335
8 Cs4Li108Sn23 0.6586262 1500 21.280552745 0.1960347432 0.3884317684 0.8815654952 1.7866666667 0.2223711616 3.5217391304 4.3377908323 124.9075921991 2.8412516155 2.4439210337 12.2685185185 1.4882657163 9.6296296296 11.5925925926 1.0583067093 0.5050224539 0.1747855522 0.4873839524 1.8362926052 1.2126851852 0.8 17.733333333333334 32.66666666666667 6.777777777777778 17.888888888888893 1.8443677325185188 2.7954746225925935 2.0727327067143033 1.7379258994522773 1.2814208154549285 1.286087532528878 0.3697332446348212 0.2464819845778935 1.4840740740740739 1.6203703703703702 1.0918392812577988 29.715405982222222 120.81302991111113 1.1413333333333333 1.7866666666666668 0.6453333333333335
9 Cs4Li108Sn23 1.1637833000000002 2000 22.0156393497 0.1920125294 0.3841497406 0.8320624999999999 1.7866666667 0.2307669548 2.1304347826 4.0246557379 129.2222309659 2.8727720839 2.3723846115 11.8333333333 1.6638865702 9.2777777778 11.8518518519 0.9984375 0.4881601119 0.1689495864 0.3591916724 1.6915070126 1.277962963 0.8 17.733333333333334 32.66666666666667 6.777777777777778 17.888888888888893 1.8443677325185188 2.7954746225925935 2.0727327067143033 1.7379258994522773 1.2814208154549285 1.286087532528878 0.3697332446348212 0.2464819845778935 1.4840740740740739 1.6203703703703702 1.0918392812577988 29.715405982222222 120.81302991111113 1.1413333333333333 1.7866666666666668 0.6453333333333335
