Predictions (y,pred,y-pred) by the model of dimension:     1
   -0.8134314582E+01   -0.7960979231E+01   -0.1733353505E+00
   -0.8581731713E+01   -0.7960979231E+01   -0.6207524811E+00
   -0.8349985272E+01   -0.7315036240E+01   -0.1034949032E+01
   -0.9042286787E+01   -0.7960979231E+01   -0.1081307555E+01
   -0.8114064143E+01   -0.9252865214E+01    0.1138801071E+01
   -0.7575234713E+01   -0.6927470445E+01   -0.6477642675E+00
   -0.8858276041E+01   -0.9252865214E+01    0.3945891737E+00
   -0.8206771632E+01   -0.9252865214E+01    0.1046093582E+01
   -0.7090596971E+01   -0.6927470445E+01   -0.1631265257E+00
   -0.8087686089E+01   -0.7960979231E+01   -0.1267068573E+00
   -0.7906069846E+01   -0.7315036240E+01   -0.5910336062E+00
   -0.6809993561E+01   -0.6927470445E+01    0.1174768841E+00
   -0.6906955599E+01   -0.7315036240E+01    0.4080806413E+00
   -0.7804243384E+01   -0.7315036240E+01   -0.4892071434E+00
   -0.6855732251E+01   -0.7315036240E+01    0.4593039892E+00
   -0.9137089910E+01   -0.9252865214E+01    0.1157753040E+00
   -0.9214348393E+01   -0.7960979231E+01   -0.1253369162E+01
   -0.7791820864E+01   -0.9252865214E+01    0.1461044351E+01
   -0.9019720012E+01   -0.9252865214E+01    0.2331452019E+00
   -0.6707839414E+01   -0.6927470445E+01    0.2196310315E+00
   -0.9875872386E+01   -0.9252865214E+01   -0.6230071713E+00
   -0.6821852850E+01   -0.7315036240E+01    0.4931833901E+00
   -0.6432391043E+01   -0.6927470445E+01    0.4950794018E+00
   -0.6191721995E+01   -0.6927470445E+01    0.7357484507E+00
   -0.8992812559E+01   -0.9252865214E+01    0.2600526548E+00
   -0.6608317576E+01   -0.6927470445E+01    0.3191528698E+00
   -0.7229476844E+01   -0.6927470445E+01   -0.3020063984E+00
   -0.8188609128E+01   -0.7315036240E+01   -0.8735728875E+00
   -0.9020546800E+01   -0.7960979231E+01   -0.1059567569E+01
   -0.6418745908E+01   -0.7315036240E+01    0.8962903316E+00
   -0.7713399491E+01   -0.7960979231E+01    0.2475797407E+00
   -0.7565921491E+01   -0.7960979231E+01    0.3950577409E+00
   -0.9242863564E+01   -0.9252865214E+01    0.1000165057E-01
   -0.8086385276E+01   -0.7315036240E+01   -0.7713490355E+00
   -0.7201857919E+01   -0.7960979231E+01    0.7591213123E+00
   -0.7981284787E+01   -0.9252865214E+01    0.1271580427E+01
   -0.6347625338E+01   -0.6927470445E+01    0.5798451078E+00
   -0.6493594753E+01   -0.6927470445E+01    0.4338756928E+00
   -0.7607725685E+01   -0.7960979231E+01    0.3532535466E+00
   -0.7330570025E+01   -0.7960979231E+01    0.6304092061E+00
   -0.6723934846E+01   -0.6927470445E+01    0.2035355992E+00
   -0.9136160974E+01   -0.9252865214E+01    0.1167042404E+00
   -0.7070862617E+01   -0.6927470445E+01   -0.1433921716E+00
   -0.7404349321E+01   -0.6927470445E+01   -0.4768788752E+00
   -0.8429182314E+01   -0.7960979231E+01   -0.4682030826E+00
   -0.6856396987E+01   -0.6927470445E+01    0.7107345858E-01
   -0.7863826881E+01   -0.7960979231E+01    0.9715235063E-01
   -0.7867736699E+01   -0.7960979231E+01    0.9324253202E-01
   -0.9480837620E+01   -0.9252865214E+01   -0.2279724054E+00
