     Index              y_true              y_pred        descriptor_1        descriptor_2
         1   -0.8985891273E+01   -0.7934508312E+01    0.7736345414E+01    0.1577500000E+02
         2   -0.7809284746E+01   -0.7319576818E+01    0.5802259061E+01    0.1595000000E+02
         3   -0.7302604832E+01   -0.6770724950E+01    0.4641807249E+01    0.1442500000E+02
         4   -0.9700727949E+01   -0.8543575004E+01    0.1160451812E+02    0.9800000000E+01
         5   -0.8429105394E+01   -0.7253011933E+01    0.7736345414E+01    0.9600000000E+01
         6   -0.7513851567E+01   -0.6552548504E+01    0.5802259061E+01    0.9000000000E+01
         7   -0.7072573084E+01   -0.6039564867E+01    0.4641807249E+01    0.7800000000E+01
         8   -0.8486802696E+01   -0.8899804781E+01    0.1160451812E+02    0.1302777778E+02
         9   -0.7325354407E+01   -0.7547519740E+01    0.7736345414E+01    0.1226851852E+02
        10   -0.6756079115E+01   -0.6865245898E+01    0.5802259061E+01    0.1183333333E+02
        11   -0.6331933408E+01   -0.6409079173E+01    0.4641807249E+01    0.1114814815E+02
        12   -0.9707014929E+01   -0.8604599686E+01    0.1160451812E+02    0.1035294118E+02
        13   -0.8477089695E+01   -0.7186793661E+01    0.7736345414E+01    0.9000000000E+01
        14   -0.7349046134E+01   -0.6520088567E+01    0.5802259061E+01    0.8705882353E+01
        15   -0.6699618894E+01   -0.6100589548E+01    0.4641807249E+01    0.8352941176E+01
        16   -0.1058465083E+02   -0.1006705510E+02    0.1160451812E+02    0.2360416667E+02
        17   -0.8737992617E+01   -0.8637617599E+01    0.7736345414E+01    0.2214583333E+02
        18   -0.7857762062E+01   -0.7881512429E+01    0.5802259061E+01    0.2104166667E+02
        19   -0.7314008898E+01   -0.7431987969E+01    0.4641807249E+01    0.2041666667E+02
        20   -0.7882446078E+01   -0.8856732247E+01    0.1160451812E+02    0.1263750000E+02
        21   -0.6997385282E+01   -0.7484775884E+01    0.7736345414E+01    0.1170000000E+02
        22   -0.6447065451E+01   -0.6849151179E+01    0.5802259061E+01    0.1168750000E+02
        23   -0.6099512226E+01   -0.6394108530E+01    0.4641807249E+01    0.1101250000E+02
        24   -0.9300845116E+01   -0.7904158271E+01    0.7736345414E+01    0.1550000000E+02
        25   -0.8402229237E+01   -0.7137476571E+01    0.5802259061E+01    0.1430000000E+02
        26   -0.7647259536E+01   -0.6834184127E+01    0.4641807249E+01    0.1500000000E+02
        27   -0.8937083342E+01   -0.8477356732E+01    0.1160451812E+02    0.9200000000E+01
        28   -0.7476134100E+01   -0.7076429875E+01    0.7736345414E+01    0.8000000000E+01
        29   -0.6439419039E+01   -0.6442184718E+01    0.5802259061E+01    0.8000000000E+01
        30   -0.6044958999E+01   -0.6094746760E+01    0.4641807249E+01    0.8300000000E+01
        31   -0.7890577984E+01   -0.8466320354E+01    0.1160451812E+02    0.9100000000E+01
        32   -0.7318463659E+01   -0.7153684525E+01    0.7736345414E+01    0.8700000000E+01
        33   -0.6821893963E+01   -0.6508402990E+01    0.5802259061E+01    0.8600000000E+01
        34   -0.6394894827E+01   -0.6050601245E+01    0.4641807249E+01    0.7900000000E+01
        35   -0.8886107735E+01   -0.9051248420E+01    0.1160451812E+02    0.1440000000E+02
        36   -0.7674632534E+01   -0.7735853497E+01    0.7736345414E+01    0.1397500000E+02
        37   -0.7016636987E+01   -0.7093331056E+01    0.5802259061E+01    0.1390000000E+02
        38   -0.6543344831E+01   -0.6591383797E+01    0.4641807249E+01    0.1280000000E+02
        39   -0.1035408707E+02   -0.1027187189E+02    0.1160451812E+02    0.2546000000E+02
        40   -0.8535681043E+01   -0.8789275836E+01    0.7736345414E+01    0.2352000000E+02
        41   -0.7794834356E+01   -0.8132957922E+01    0.5802259061E+01    0.2332000000E+02
        42   -0.7220717280E+01   -0.7706058037E+01    0.4641807249E+01    0.2290000000E+02
        43   -0.9404947488E+01   -0.9058606006E+01    0.1160451812E+02    0.1446666667E+02
        44   -0.7915852959E+01   -0.7731255006E+01    0.7736345414E+01    0.1393333333E+02
        45   -0.7339019850E+01   -0.7016076406E+01    0.5802259061E+01    0.1320000000E+02
        46   -0.6872577825E+01   -0.6580347419E+01    0.4641807249E+01    0.1270000000E+02
        47   -0.9964320946E+01   -0.9275989221E+01    0.1160451812E+02    0.1643636364E+02
        48   -0.8250322175E+01   -0.8047631193E+01    0.7736345414E+01    0.1680000000E+02
        49   -0.7579014753E+01   -0.7395326508E+01    0.5802259061E+01    0.1663636364E+02
        50   -0.7058814476E+01   -0.6836190741E+01    0.4641807249E+01    0.1501818182E+02
        51   -0.8257174368E+01   -0.8983453523E+01    0.1160451812E+02    0.1378571429E+02
        52   -0.7336286271E+01   -0.7722846337E+01    0.7736345414E+01    0.1385714286E+02
        53   -0.6807875284E+01   -0.7017653031E+01    0.5802259061E+01    0.1321428571E+02
        54   -0.6373681617E+01   -0.6556960807E+01    0.4641807249E+01    0.1248809524E+02
        55   -0.7838608532E+01   -0.8808710861E+01    0.1160451812E+02    0.1220238095E+02
        56   -0.6968753939E+01   -0.7506060328E+01    0.7736345414E+01    0.1189285714E+02
        57   -0.6538576426E+01   -0.6779845350E+01    0.5802259061E+01    0.1105952381E+02
        58   -0.6196685620E+01   -0.6386159709E+01    0.4641807249E+01    0.1094047619E+02
        59   -0.8066179676E+01   -0.9179217858E+01    0.1160451812E+02    0.1555952381E+02
        60   -0.7201876841E+01   -0.7867370343E+01    0.7736345414E+01    0.1516666667E+02
        61   -0.6681814603E+01   -0.7179257147E+01    0.5802259061E+01    0.1467857143E+02
        62   -0.6312355997E+01   -0.6790826925E+01    0.4641807249E+01    0.1460714286E+02
        63   -0.8814767363E+01   -0.9018927597E+01    0.1160451812E+02    0.1410714286E+02
        64   -0.7604099765E+01   -0.7691313826E+01    0.7736345414E+01    0.1357142857E+02
