     Index              y_true              y_pred        descriptor_1        descriptor_2        descriptor_3        descriptor_4        descriptor_5
         1   -0.8985891273E+01   -0.8168714015E+01    0.7736345414E+01    0.1577500000E+02    0.6200000000E+01    0.4080000000E+00    0.5374642007E+00
         2   -0.7809284746E+01   -0.7449425987E+01    0.5802259061E+01    0.1595000000E+02    0.6700000000E+01    0.4080000000E+00    0.5304018890E+00
         3   -0.7302604832E+01   -0.7024011136E+01    0.4641807249E+01    0.1442500000E+02    0.5500000000E+01    0.4080000000E+00    0.5077546355E+00
         4   -0.9700727949E+01   -0.9529538792E+01    0.1160451812E+02    0.9800000000E+01    0.1400000000E+01    0.5833333333E-01    0.5865886833E+00
         5   -0.8429105394E+01   -0.8190635097E+01    0.7736345414E+01    0.9600000000E+01    0.1200000000E+01    0.5833333333E-01    0.5654161753E+00
         6   -0.7513851567E+01   -0.7478274076E+01    0.5802259061E+01    0.9000000000E+01    0.1000000000E+01    0.5833333333E-01    0.5521486447E+00
         7   -0.7072573084E+01   -0.6934514608E+01    0.4641807249E+01    0.7800000000E+01    0.8000000000E+00    0.5833333333E-01    0.5260022562E+00
         8   -0.8486802696E+01   -0.8688274525E+01    0.1160451812E+02    0.1302777778E+02    0.1009259259E+02    0.6453333333E+00    0.5255196840E+00
         9   -0.7325354407E+01   -0.7331546854E+01    0.7736345414E+01    0.1226851852E+02    0.9629629630E+01    0.6453333333E+00    0.5050224539E+00
        10   -0.6756079115E+01   -0.6649484505E+01    0.5802259061E+01    0.1183333333E+02    0.9277777778E+01    0.6453333333E+00    0.4881601119E+00
        11   -0.6331933408E+01   -0.6224388726E+01    0.4641807249E+01    0.1114814815E+02    0.8666666667E+01    0.6453333333E+00    0.4650965813E+00
        12   -0.9707014929E+01   -0.9425006880E+01    0.1160451812E+02    0.1035294118E+02    0.2000000000E+01    0.9100000000E-01    0.5489540173E+00
        13   -0.8477089695E+01   -0.8054663362E+01    0.7736345414E+01    0.9000000000E+01    0.1176470588E+01    0.9100000000E-01    0.5264171392E+00
        14   -0.7349046134E+01   -0.7275399854E+01    0.5802259061E+01    0.8705882353E+01    0.1529411765E+01    0.9100000000E-01    0.5050090405E+00
        15   -0.6699618894E+01   -0.6756768648E+01    0.4641807249E+01    0.8352941176E+01    0.1764705882E+01    0.9100000000E-01    0.4793278316E+00
        16   -0.1058465083E+02   -0.1022786049E+02    0.1160451812E+02    0.2360416667E+02    0.1058333333E+02    0.8100000000E+00    0.7284151431E+00
        17   -0.8737992617E+01   -0.8841165490E+01    0.7736345414E+01    0.2214583333E+02    0.9750000000E+01    0.8100000000E+00    0.7028522748E+00
        18   -0.7857762062E+01   -0.8143755201E+01    0.5802259061E+01    0.2104166667E+02    0.8875000000E+01    0.8100000000E+00    0.6764402677E+00
        19   -0.7314008898E+01   -0.7624327753E+01    0.4641807249E+01    0.2041666667E+02    0.8958333333E+01    0.8100000000E+00    0.6530019565E+00
