formula lnD PF RNC SBI SDLC RBI ENS SDLI SLPE LLB avg_diff_of_X_Li_rest ratio_r_without_Li_with SPF LNC AFC Li_percentage LBI avg_X_with_Li SNC avg_B_wiout_Li avg_G_wiout_Li avg_B_with_Li avg_X_wiout_Li avg_G_with_Li avg_Ecoh_with_Li avg_Echo_wiout_Li avg_m_wiout_Li avg_m_with_Li BR5_M_without_Li GR5_M_without_Li GR5_M_with_Li BR5_M_with_Li ER2_m_without_Li ER2_m_with_Li atomic_radius_avg_exclude_Li LASD SLPW LLSD atomic_radius_avg AASD SLPW_pp VPA AAV inverseTemp
Li2Si2Os -8.985891273259977 0.5374642007 1.0389681668 0.5089571899 1.4228053275 1.2121267705 2.0 0.5078142035000001 1.668 6.2 0.4080000000000003 0.9114583333333334 0.3101154155 15.775 3.875 0.4 0.6169206349 1.592 15.1833333333 189.00000000000003 127.00000000000004 119.0 2.0000000000000004 77.80000000000001 4.147327698000001 5.841152156666668 82.13366666666667 52.0566 2.230166410846229 1.828134854803234 2.266088270865989 2.802596047056096 0.3111253825752085 0.3612902536997758 1.1666666666666667 2.4836630207 0.2419629783 2.471324019 1.28 2.94793986 1.4717766739 38.6390001958 15.4556000783 0.6666666666666666
Li2Si2Os -7.809284746372433 0.5304018890000001 1.0801354402 0.5111738149 1.3955285737 1.1568780713 2.0 0.5142127928 1.675 6.7 0.4080000000000003 0.9114583333333334 0.3060404804 15.95 3.2 0.4 0.5913657771 1.592 14.7666666667 189.00000000000003 127.00000000000004 119.0 2.0000000000000004 77.80000000000001 4.147327698000001 5.841152156666668 82.13366666666667 52.0566 2.230166410846229 1.828134854803234 2.266088270865989 2.802596047056096 0.3111253825752085 0.3612902536997758 1.1666666666666667 2.3971187506 0.1740409777 2.4580314047 1.28 2.7795790005 1.4330278 39.153479258 15.6613917032 0.5
Li2Si2Os -7.302604832003291 0.5077546355 0.9982698962 0.5051211073 1.7159181216 1.2453696568 2.0 0.5054769705000001 1.6825 5.5 0.4080000000000003 0.9114583333333334 0.2929730753 14.425 3.55 0.4 0.6290625 1.592 14.45 189.00000000000003 127.00000000000004 119.0 2.0000000000000004 77.80000000000001 4.147327698000001 5.841152156666668 82.13366666666667 52.0566 2.230166410846229 1.828134854803234 2.266088270865989 2.802596047056096 0.3111253825752085 0.3612902536997758 1.1666666666666667 2.4738479199 0.2509600224 2.3840784267 1.28 2.89440422 1.533618799 40.8998321384 16.3599328554 0.4
Ba3LiSi6 -9.700727949452375 0.5865886833 1.0475059382 0.6456057007 1.166190379 0.8099163272000001 1.5633333333 0.4310691832 1.101 1.4 0.0583333333333331 1.0 0.5559250486 9.8 2.9666666667 0.1 0.5228865979 1.505 9.3555555556 58.33333333333333 42.66666666666667 53.9 1.563333333333333 38.8 3.4842753020000004 3.69290689 64.49933333333333 58.7435 2.407691223529989 2.0591441489352627 2.057576348089565 2.425126955338309 0.3469561326201683 0.3531378951659033 1.45 2.5107058504 -0.1140653497 3.6601040086 1.45 2.5219601354 1.4746946273 47.7467301212 28.6480380727 1.0
Ba3LiSi6 -8.429105393975028 0.5654161753 1.0992366412 0.6084478372000001 0.916515139 0.9349069395 1.5633333333 0.4256085918 1.294 1.2 0.0583333333333331 1.0 0.535859323 9.6 2.9 0.1 0.5688421053 1.505 8.7333333333 58.33333333333333 42.66666666666667 53.9 1.563333333333333 38.8 3.4842753020000004 3.69290689 64.49933333333333 58.7435 2.407691223529989 2.0591441489352627 2.057576348089565 2.425126955338309 0.3469561326201683 0.3531378951659033 1.45 2.5001486893 -0.1025640793 3.2987866617 1.45 2.5137253451 1.4129726933 49.5346485958 29.7207891575 0.6666666666666666
Ba3LiSi6 -7.513851566666549 0.5521486447 1.0384615385 0.5479230769 1.1832159566 1.1007860279 1.5633333333 0.4183931848 1.496 1.0 0.0583333333333331 1.0 0.523285346 9.0 3.3 0.1 0.6031460674 1.505 8.6666666667 58.33333333333333 42.66666666666667 53.9 1.563333333333333 38.8 3.4842753020000004 3.69290689 64.49933333333333 58.7435 2.407691223529989 2.0591441489352627 2.057576348089565 2.425126955338309 0.3469561326201683 0.3531378951659033 1.45 2.4793756460000003 0.0379219768 3.6489909838 1.45 2.5954953891 1.4749667547 50.7249122596 30.4349473558 0.5
Ba3LiSi6 -7.07257308416504 0.5260022562000001 0.9460916442 0.5390835580000001 2.6758176321 1.0715636364 1.5633333333 0.4228547538 1.092 0.8 0.0583333333333331 1.0 0.4985057471 7.8 3.1 0.1 0.5776623377 1.505 8.2444444444 58.33333333333333 42.66666666666667 53.9 1.563333333333333 38.8 3.4842753020000004 3.69290689 64.49933333333333 58.7435 2.407691223529989 2.0591441489352627 2.057576348089565 2.425126955338309 0.3469561326201683 0.3531378951659033 1.45 2.5341255085 -0.3630217583 3.9401822922 1.45 2.5921506791 1.2325784392 53.2463334999 31.9478000999 0.4
Cs4Li108Sn23 -8.48680269629217 0.525519684 1.0626888218 0.8929305136000001 1.4366778379 0.2298280555 1.7866666667 0.3950207488 1.3125 10.0925925926 0.6453333333333335 1.0918392812577988 0.1818795332 13.0277777778 2.5217391304 0.8 0.2052204836 1.1413333333333333 12.2592592593 32.66666666666667 17.888888888888893 17.733333333333334 1.7866666666666668 6.777777777777778 1.8443677325185188 2.795474622592593 120.81302991111112 29.715405982222222 1.7379258994522773 1.286087532528878 1.2814208154549285 2.0727327067143038 0.2464819845778935 0.3697332446348212 1.6203703703703702 2.8073828867 0.3126394679 2.5150504991 1.484074074074074 4.5733558568 1.667614902 120.0357296691 20.4505317214 1.0
Cs4Li108Sn23 -7.325354407458879 0.5050224539 1.0583067093 0.8815654952 1.4882657163 0.2223711616 1.7866666667 0.3884317684 1.2126851852 9.6296296296 0.6453333333333335 1.0918392812577988 0.1747855522 12.2685185185 3.5217391304 0.8 0.1960347432 1.1413333333333333 11.5925925926 32.66666666666667 17.888888888888893 17.733333333333334 1.7866666666666668 6.777777777777778 1.8443677325185188 2.795474622592593 120.81302991111112 29.715405982222222 1.7379258994522773 1.286087532528878 1.2814208154549285 2.0727327067143038 0.2464819845778935 0.3697332446348212 1.6203703703703702 2.8412516155 0.4873839524 2.4439210337 1.484074074074074 4.3377908323 1.8362926052 124.9075921991 21.280552745 0.6666666666666666
Cs4Li108Sn23 -6.756079115389255 0.4881601119 0.9984375 0.8320624999999999 1.6638865702 0.2307669548 1.7866666667 0.3841497406 1.277962963 9.2777777778 0.6453333333333335 1.0918392812577988 0.1689495864 11.8333333333 2.1304347826 0.8 0.1920125294 1.1413333333333333 11.8518518519 32.66666666666667 17.888888888888893 17.733333333333334 1.7866666666666668 6.777777777777778 1.8443677325185188 2.795474622592593 120.81302991111112 29.715405982222222 1.7379258994522773 1.286087532528878 1.2814208154549285 2.0727327067143038 0.2464819845778935 0.3697332446348212 1.6203703703703702 2.8727720839 0.3591916724 2.3723846115 1.484074074074074 4.0246557379 1.6915070126 129.2222309659 22.0156393497 0.5
